code1c,mdmcodenomen,nomen
Ц000028270 ,043-00032-0555,"Двутавр 40Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028272 ,043-00036-0555,"Двутавр 50Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028274 ,043-00059-0555,"Двутавр 50Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028277 ,043-00021-0555,"Двутавр 20К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028279 ,043-00042-0555,"Двутавр 20К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц000028281 ,043-00040-0555,"Двутавр 30К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
ЦПР00002102,043-00068-0546,"Двутавр 20Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00002105,043-00061-0546,"Двутавр 45Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00001071,043-00063-0546,"Двутавр 55Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00001072,043-00044-0546,"Двутавр 50Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00001073,043-00056-0546,"Двутавр 70Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00001074,043-00057-0546,"Двутавр 70Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00001144,043-00065-0546,"Двутавр 18Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АФ000000938,043-00048-0546,"Двутавр 60Б2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000026532,043-00031-0546,"Двутавр 40Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000028945,043-00047-0555,"Двутавр 25К1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц0000028946,043-00011-0555,"Двутавр 25К2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц0000028951,043-00029-0555,"Двутавр 30Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
Ц0000028952,043-00030-0555,"Двутавр 30Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
ЦПР00003348,043-00010-0545,"Двутавр 16Б1 СТО АСЧМ 20-93 09Г2С-12 дл.6,0"
ЦПР00003430,043-00039-0546,"Двутавр 60Ш3 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
ЦПР00003477,043-00041-0546,"Двутавр 30М ГОСТ 19425 09Г2С-12 дл.12,0"
ОА-ОА002760,043-00025-0784,"Двутавр 25Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002761,043-00007-0784,"Двутавр 20Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002762,043-00033-0784,"Двутавр 20Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002768,043-00033-0550,"Двутавр 20Ш1 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
ОА-ОА002785,043-00011-0783,"Двутавр 25К2 СТО АСЧМ 20-93 С345-2 дл.12,0"
ОА-ОА002956,043-00040-0784,"Двутавр 30К2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002957,043-00024-0784,"Двутавр 35К2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002966,043-00014-0784,"Двутавр 25Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002967,043-00030-0784,"Двутавр 30Ш2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002986,043-00022-0784,"Двутавр 25Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002987,043-00013-0784,"Двутавр 35Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002989,043-00023-0784,"Двутавр 50Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002990,043-00020-0784,"Двутавр 60Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002991,043-00032-0784,"Двутавр 40Б2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА002992,043-00027-0784,"Двутавр 40К1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003002,043-00002-0784,"Двутавр 40Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003003,043-00031-0784,"Двутавр 40Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003004,043-00001-0784,"Двутавр 40Ш2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003070,043-00059-0789,"Двутавр 50Б2 СТО АСЧМ 20-93 С345-3 дл.11,5"
ОА-ОА003120,043-00004-0550,"Двутавр 45М ГОСТ 19425 09Г2С-15 дл.12,0"
ОА-ОА003158,043-00017-0784,"Двутавр 35Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003159,043-00042-0784,"Двутавр 20К2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003160,043-00035-0784,"Двутавр 35К1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003168,043-00052-0784,"Двутавр 70Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003169,043-00053-0575,"Двутавр 70Ш2 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА003172,043-00008-0575,"Двутавр 40К3 СТО АСЧМ 20-93 С345-3 дл.12,0"
ОА-ОА003322,043-00009-0784,"Двутавр 35Б1 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003325,043-00008-0784,"Двутавр 40К3 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003330,043-00028-0784,"Двутавр 40К2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003331,043-00044-0784,"Двутавр 50Ш2 СТО АСЧМ 20-93 С345-6 дл.12,0"
ОА-ОА003332,043-00054-0784,"Двутавр 60Ш2 СТО АСЧМ 20-93 С345-6 дл.12,0"
